@relation Twitter

@attribute First-person numeric
@attribute Second-person numeric
@attribute Third-person numeric
@attribute Coordinating-Conjuction numeric
@attribute Past-tense-verbs numeric
@attribute Future-tense-verbs numeric
@attribute Commas numeric
@attribute Colons-semi-colons numeric
@attribute Dashes numeric
@attribute Parenthesis numeric
@attribute Ellipses numeric
@attribute Common-nouns numeric
@attribute Proper-nouns numeric
@attribute Adverbs numeric
@attribute wh-words numeric
@attribute Slang numeric
@attribute Upper-case-words
@attribute Average-sentence-length
@attribute Average-token-length
@attribute Number-of-sentences
@attribute Classname

@data
0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,3.0,4.5,1,ladygaga
1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,9.0,3.66666666667,1,ladygaga
1,2,1,0,1,0,0,1,0,0,0,5,0,1,0,0,1,17.0,4.0,1,ladygaga
2,0,0,4,0,0,0,0,0,0,1,6,2,2,0,0,1,10.0,3.96296296296,3,ladygaga
1,0,0,0,0,0,1,0,0,0,0,7,1,0,0,0,6,6.33333333333,3.86666666667,3,ladygaga
3,1,2,0,3,0,1,0,0,0,0,5,0,1,2,0,1,16.0,3.55172413793,2,ladygaga
4,0,0,1,0,4,2,0,0,0,0,2,2,1,0,0,1,14.0,4.48,2,ladygaga
0,0,0,1,0,0,1,0,1,0,0,3,0,1,0,1,0,9.0,5.0,1,ladygaga
0,1,0,0,0,1,4,0,0,0,0,9,1,2,0,1,2,27.0,4.0,1,ladygaga
1,0,0,1,0,0,0,0,1,0,0,5,6,2,0,0,1,6.0,4.66666666667,5,ladygaga
1,1,0,1,1,0,0,0,0,0,0,5,0,2,0,0,2,9.0,3.70833333333,3,ladygaga
1,0,0,2,0,0,0,0,1,0,0,5,2,2,0,2,1,10.0,3.88235294118,2,ladygaga
1,0,0,2,1,0,1,0,0,0,0,5,2,2,0,1,4,16.5,3.56666666667,2,ladygaga
4,0,0,1,0,0,2,0,0,2,0,9,0,2,1,0,2,17.0,3.8275862069,2,ladygaga
2,0,0,1,0,0,0,0,1,0,0,9,1,0,0,0,4,10.5,3.77777777778,2,ladygaga
2,0,0,1,2,0,3,0,0,0,0,4,5,3,0,0,0,9.66666666667,3.73913043478,3,ladygaga
2,0,2,0,1,0,0,1,0,1,0,5,0,0,0,0,2,7.5,3.88,4,ladygaga
1,0,0,0,0,0,0,0,1,0,0,4,1,2,0,0,0,16.0,5.30769230769,1,ladygaga
2,0,1,1,1,0,0,0,0,0,0,6,0,1,1,0,2,8.66666666667,4.41666666667,3,ladygaga
1,0,0,1,0,0,1,0,0,0,0,3,1,1,0,0,0,8.5,4.28571428571,2,ladygaga
1,1,1,2,0,0,1,1,0,0,0,3,0,3,0,1,2,8.0,4.35,3,ladygaga
0,0,0,1,0,0,1,0,0,0,1,3,2,2,0,0,8,19.0,3.70588235294,1,ladygaga
6,0,0,0,0,2,0,0,0,0,0,6,0,2,0,0,3,12.3333333333,3.53333333333,3,ladygaga
3,1,0,1,1,0,0,0,0,0,0,4,0,1,0,1,3,7.66666666667,3.7,3,ladygaga
0,2,1,1,2,0,0,0,0,0,0,9,3,1,0,0,5,8.5,3.71428571429,4,ladygaga
0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,2,7.0,3.16666666667,1,ladygaga
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ladygaga
2,0,1,0,0,1,0,0,2,0,0,4,0,1,0,0,1,21.0,3.70588235294,1,ladygaga
1,0,1,1,0,0,3,0,1,0,0,7,0,2,0,1,2,21.0,5.0,1,ladygaga
2,0,2,0,0,1,0,0,0,0,0,8,0,2,0,0,11,7.0,4.70833333333,4,ladygaga
1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7.0,5.33333333333,1,ladygaga
1,0,0,1,0,0,0,0,1,0,0,3,2,0,0,0,0,6.0,4.88888888889,2,ladygaga
2,0,1,1,0,1,0,0,0,0,0,7,3,0,0,0,5,14.0,3.84615384615,2,ladygaga
0,1,1,0,0,0,0,0,0,0,0,10,3,0,0,1,5,10.6666666667,4.07142857143,3,ladygaga
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ladygaga
2,0,0,0,0,0,1,0,2,0,0,6,2,1,1,0,2,13.5,3.47826086957,2,ladygaga
2,2,0,0,1,0,1,0,0,0,0,7,3,3,1,0,3,8.75,3.56666666667,4,ladygaga
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2.0,5.5,1,ladygaga
5,0,0,2,1,0,0,0,0,0,1,3,2,2,0,2,4,10.0,3.11111111111,3,ladygaga
2,2,0,0,0,0,1,0,0,0,0,9,1,0,0,0,6,6.75,3.72727272727,4,ladygaga
0,0,0,2,0,0,0,0,0,0,0,6,4,2,0,0,8,8.33333333333,5.27272727273,3,ladygaga
3,0,0,0,2,0,2,0,0,0,0,6,0,1,0,0,3,28.0,4.52,1,ladygaga
1,0,0,2,0,0,0,0,0,0,0,3,7,1,0,1,1,7.5,4.23076923077,4,ladygaga
1,0,1,0,0,0,0,2,0,1,0,4,1,3,0,0,2,9.33333333333,3.81818181818,3,ladygaga
1,0,1,2,1,0,1,0,2,0,0,10,2,0,0,0,3,8.5,4.0,4,ladygaga
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ladygaga
2,1,0,1,0,0,0,0,0,0,0,5,0,0,0,1,0,19.0,4.41176470588,1,ladygaga
0,0,0,0,0,0,0,1,0,0,0,4,1,1,0,1,1,10.0,3.25,1,ladygaga
2,0,0,0,0,0,0,1,1,1,0,8,1,1,0,0,4,6.25,3.57894736842,4,ladygaga
2,2,0,0,0,1,1,0,0,0,0,7,0,1,0,0,19,9.33333333333,3.66666666667,3,ladygaga
3,1,1,1,0,0,0,0,0,0,0,6,0,1,0,1,2,10.6666666667,3.85185185185,3,ladygaga
2,4,1,0,0,0,2,0,0,0,0,6,0,2,0,0,1,7.5,3.88,4,ladygaga
4,0,0,2,1,0,2,0,0,0,0,8,0,2,1,1,3,9.66666666667,4.48,3,ladygaga
0,0,1,1,0,2,0,1,0,1,0,2,0,0,0,0,1,5.0,4.36363636364,3,ladygaga
2,3,0,3,0,0,0,0,0,0,0,9,1,1,0,2,3,9.33333333333,4.04,3,ladygaga
0,0,0,0,0,0,1,0,1,0,0,8,2,1,0,0,3,3.85714285714,4.16666666667,7,ladygaga
0,1,1,2,0,0,0,0,0,0,0,3,4,0,1,0,1,22.0,4.14285714286,1,ladygaga
0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,3.5,6.6,2,ladygaga
1,1,0,3,1,0,1,1,0,0,0,11,2,3,0,2,6,19.5,3.0303030303,2,ladygaga
2,0,1,1,1,0,0,0,1,0,0,4,0,1,1,0,1,11.0,3.73684210526,2,ladygaga
2,0,0,3,1,0,1,0,0,0,0,12,0,0,0,0,0,34.0,3.79310344828,1,ladygaga
0,0,0,1,0,0,0,0,0,0,0,6,1,1,0,0,0,4.66666666667,4.45454545455,3,ladygaga
0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,0,8,9.0,4.875,1,ladygaga
1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8.0,4.14285714286,1,ladygaga
2,0,0,1,0,0,0,0,0,0,0,4,2,2,0,2,2,10.0,3.72222222222,2,ladygaga
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.0,5.5,1,ladygaga
0,0,0,2,0,1,1,0,1,0,0,3,1,1,0,1,0,10.0,4.5625,2,ladygaga
0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,4,6.5,3.91666666667,2,ladygaga
2,1,0,3,0,0,1,0,0,0,0,9,0,1,1,2,3,11.0,3.7,3,ladygaga
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ladygaga
2,1,0,0,0,1,0,1,0,1,0,2,1,2,0,0,5,6.66666666667,3.8125,3,ladygaga
1,1,0,1,1,1,1,0,0,0,0,9,2,0,0,1,1,10.0,4.14814814815,3,ladygaga
1,0,0,1,0,0,0,1,0,0,0,9,2,1,0,1,2,11.0,3.73684210526,2,ladygaga
0,3,1,1,0,0,0,0,0,0,0,4,0,2,1,1,2,6.0,3.92,5,ladygaga
2,0,0,0,0,0,2,0,0,0,0,8,3,3,0,0,1,15.0,4.23076923077,2,ladygaga
5,1,0,1,0,0,4,1,1,0,0,6,0,3,0,0,4,40.0,3.21875,1,ladygaga
0,0,0,1,0,0,0,0,1,0,0,7,0,0,0,0,0,14.0,4.45454545455,1,ladygaga
1,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,6.0,4.16666666667,1,ladygaga
3,0,0,0,1,0,2,0,0,0,0,8,1,0,0,0,2,10.0,4.4,3,ladygaga
3,1,0,1,2,0,1,0,0,0,0,5,1,1,1,0,3,10.0,4.19230769231,3,ladygaga
5,0,0,0,0,0,1,1,0,0,0,5,0,0,0,0,5,27.0,3.32,1,ladygaga
1,0,0,1,0,1,0,0,0,0,0,7,0,0,0,0,6,7.33333333333,3.65,3,ladygaga
3,2,1,2,1,0,1,0,0,0,0,4,3,3,0,1,6,10.6666666667,3.89285714286,3,ladygaga
1,0,0,0,0,0,0,1,0,0,0,3,2,1,0,0,0,12.0,4.22222222222,1,ladygaga
1,3,1,1,1,0,0,0,0,0,0,7,1,1,0,3,3,31.0,3.36666666667,1,ladygaga
3,0,1,1,4,0,0,0,0,0,0,8,2,0,0,0,6,10.6666666667,3.1724137931,3,ladygaga
2,1,0,0,0,0,1,0,0,0,0,9,2,4,0,0,3,8.5,3.68965517241,4,ladygaga
2,3,2,4,0,1,2,0,0,0,0,3,1,0,1,0,2,7.75,4.0,4,ladygaga
0,1,0,2,0,0,0,0,0,0,0,2,0,1,0,1,0,11.0,5.0,1,ladygaga
1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,6.5,4.27272727273,2,ladygaga
1,0,0,1,0,0,1,0,0,0,0,7,0,2,0,1,2,25.0,4.4347826087,1,ladygaga
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ladygaga
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ladygaga
0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,3.0,4.0,2,ladygaga
3,0,0,0,0,1,0,0,0,0,0,7,0,1,0,0,1,5.5,3.72727272727,2,ladygaga
0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,3.5,4.81818181818,4,ladygaga
0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,4.0,3.33333333333,1,ladygaga
5,0,0,2,1,0,3,0,0,0,0,8,3,2,0,0,3,31.0,3.46428571429,1,ladygaga
1,1,1,1,0,0,0,1,0,0,0,6,0,1,1,0,4,14.5,3.38461538462,2,ladygaga
2,2,1,2,1,0,0,0,0,0,0,8,2,2,0,1,3,5.33333333333,4.19230769231,6,ladygaga
3,1,0,2,2,0,0,0,0,0,0,4,0,2,0,0,2,6.66666666667,3.77777777778,3,ladygaga
0,0,3,1,0,0,0,0,0,0,0,4,0,4,0,0,0,7.66666666667,4.65,3,ladygaga
2,0,0,2,0,0,0,0,0,0,0,7,3,2,0,1,2,10.3333333333,4.0,3,ladygaga
1,1,0,2,1,0,1,0,0,0,0,6,0,2,0,2,0,10.0,4.5,2,ladygaga
1,1,0,3,0,0,0,1,0,0,0,7,0,4,1,2,1,9.33333333333,4.91304347826,3,ladygaga
0,2,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,14.0,4.5,1,ladygaga
0,0,1,1,0,1,2,0,0,0,0,1,0,2,0,0,0,13.0,3.8,1,ladygaga
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2.0,4.5,1,ladygaga
0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,3,3.0,2.66666666667,3,ladygaga
3,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,2,8.66666666667,3.91304347826,3,ladygaga
2,0,0,1,2,0,1,0,0,0,0,8,0,0,0,0,3,27.0,4.34615384615,1,ladygaga
0,0,1,2,0,0,2,0,0,2,0,3,0,2,1,0,2,14.5,4.70833333333,2,ladygaga
0,3,1,2,0,0,1,0,0,0,0,3,0,3,0,1,1,6.25,3.68421052632,4,ladygaga
2,0,0,1,1,0,4,0,0,0,0,7,0,3,1,0,4,17.0,3.78571428571,2,ladygaga
5,1,0,3,1,0,3,0,0,0,0,3,3,2,1,0,0,16.5,3.89285714286,2,ladygaga
2,1,1,1,2,0,0,1,0,0,0,8,0,1,1,0,4,13.5,4.0,2,ladygaga
0,0,2,2,0,0,0,0,0,0,0,4,1,2,0,1,1,8.5,4.13333333333,2,ladygaga
1,0,0,1,0,0,1,0,0,0,0,3,1,0,0,0,1,11.0,4.1,1,ladygaga
0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,19,7.0,3.68421052632,3,ladygaga
0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,4.0,6.5,1,ladygaga
0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,7.0,5.0,2,ladygaga
0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3.0,0,1,ladygaga
