@relation Twitter

@attribute First-person numeric
@attribute Second-person numeric
@attribute Third-person numeric
@attribute Coordinating-Conjuction numeric
@attribute Past-tense-verbs numeric
@attribute Future-tense-verbs numeric
@attribute Commas numeric
@attribute Colons-semi-colons numeric
@attribute Dashes numeric
@attribute Parenthesis numeric
@attribute Ellipses numeric
@attribute Common-nouns numeric
@attribute Proper-nouns numeric
@attribute Adverbs numeric
@attribute wh-words numeric
@attribute Slang numeric
@attribute Upper-case-words
@attribute Average-sentence-length
@attribute Average-token-length
@attribute Number-of-sentences
@attribute Classname

@data
0,1,1,0,0,0,0,1,0,0,0,9,3,0,0,0,6,13.0,3.95652173913,2,BarackObama
0,0,0,0,0,0,3,1,4,8,0,14,2,0,0,0,8,33.0,5.94117647059,1,BarackObama
0,0,0,0,0,0,0,1,0,0,0,8,5,0,1,0,3,11.5,4.38095238095,2,BarackObama
0,0,0,0,0,0,1,0,1,0,0,1,3,1,0,0,1,13.0,4.09090909091,1,BarackObama
0,0,1,0,0,0,0,2,0,0,0,15,3,0,0,0,6,16.5,3.48275862069,2,BarackObama
0,0,1,0,1,0,0,2,0,0,0,12,4,0,0,0,3,16.0,4.10714285714,2,BarackObama
0,1,0,1,0,0,0,1,0,0,0,9,8,0,0,1,5,5.33333333333,3.92307692308,6,BarackObama
1,0,0,0,0,0,0,0,0,0,1,4,0,3,0,0,0,10.0,4.38888888889,2,BarackObama
1,0,0,3,0,0,1,2,1,0,0,11,2,4,0,3,6,18.0,3.63333333333,2,BarackObama
2,0,0,0,2,0,2,0,0,0,0,5,1,1,1,0,1,14.5,4.52,2,BarackObama
0,0,0,1,0,0,0,2,0,0,0,12,1,1,1,0,6,32.0,4.15384615385,1,BarackObama
0,1,0,1,1,0,0,1,1,0,0,14,0,0,1,0,4,9.33333333333,4.52173913043,3,BarackObama
2,0,1,0,1,1,0,0,0,0,0,3,5,0,0,0,1,13.0,4.82608695652,2,BarackObama
1,0,0,2,0,0,0,2,0,0,0,12,5,0,0,0,5,15.0,4.53846153846,2,BarackObama
0,1,0,1,1,0,0,1,0,0,0,9,1,1,0,0,5,6.33333333333,3.625,3,BarackObama
0,0,0,1,1,0,1,0,0,0,0,5,2,1,0,0,3,10.0,4.61111111111,2,BarackObama
0,0,0,0,0,0,0,2,0,2,0,16,1,1,0,1,4,15.0,4.375,2,BarackObama
0,0,2,0,2,0,1,1,0,2,0,10,0,0,0,0,5,34.0,3.43333333333,1,BarackObama
0,1,0,1,0,0,0,0,0,0,0,7,2,0,0,0,4,12.0,4.13636363636,2,BarackObama
2,0,1,1,0,0,1,0,0,0,0,5,0,1,0,0,1,27.0,4.5,1,BarackObama
0,0,0,1,0,0,4,1,0,0,0,8,0,0,0,0,1,15.0,8.0,1,BarackObama
0,0,0,2,0,0,0,1,0,0,0,15,1,0,0,0,7,14.5,3.92592592593,2,BarackObama
0,0,0,2,0,1,2,0,1,0,0,5,6,0,0,0,3,28.0,4.75,1,BarackObama
0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,1,6.0,8.75,1,BarackObama
0,0,0,0,0,0,3,1,4,8,0,10,6,0,0,0,8,34.0,5.47058823529,1,BarackObama
0,1,0,0,0,0,0,1,0,0,0,9,4,0,0,0,3,10.0,5.11111111111,2,BarackObama
0,0,1,1,0,0,0,0,1,0,0,4,5,1,0,0,0,19.0,6.0,1,BarackObama
0,0,0,1,0,0,1,1,0,0,0,15,1,0,0,0,5,31.0,3.81481481481,1,BarackObama
